A,B,C,G,,,,
42790,41700,42316,0,332.08,23.11,15.71,48.12
42790,41275,42316,0,336.09,17.89,16.60,48.23
42790,41275,42287,0,336.31,15.28,16.70,48.34
42790,41275,42287,0,335.16,15.48,16.80,48.37
42663,41275,42287,0,336.88,15.90,17.06,48.49
42663,42035,42287,0,337.00,15.11,17.82,48.60
42663,42035,42171,0,338.04,15.46,17.83,48.71
42663,42035,42171,0,338.28,15.48,17.80,48.74
42832,42035,42171,0,339.73,15.26,17.69,48.86
42832,42270,42171,0,340.24,13.52,17.84,48.97
42832,42270,41714,0,340.22,12.34,18.11,49.09
42832,42270,41714,0,340.59,12.01,18.17,49.11
42769,42270,41714,0,340.82,8.63,18.44,49.23
42769,42596,41714,0,344.37,6.02,18.95,49.34
42769,42596,41916,0,346.71,4.69,19.27,49.46
42769,42596,41916,0,346.64,4.78,19.20,49.48
43006,42596,41916,0,348.41,3.44,18.88,49.60
43006,43120,41916,0,349.60,1.99,18.58,49.72
43006,43120,41931,0,348.40,0.73,18.04,49.83
43006,43120,41931,0,348.34,0.72,17.95,49.86
43309,43120,41931,0,348.64,0.79,17.17,49.98
43309,42836,41931,0,349.31,0.67,17.09,50.09
43309,42836,41713,0,352.34,2.85,17.32,50.20
43309,42836,41713,0,353.73,3.09,17.34,50.23
43053,42836,41713,0,351.93,3.07,17.83,50.35
43053,41895,41713,0,351.66,3.68,18.36,50.46
43053,41895,41969,0,351.41,2.67,18.57,50.58
43053,41895,41969,0,351.86,2.27,18.63,50.60
42965,41895,41969,0,352.03,2.68,18.81,50.72
42965,43029,41969,0,352.29,2.34,18.82,50.84
42965,43029,41853,0,352.89,2.30,18.98,50.95
42965,43029,41853,0,353.53,2.00,19.02,50.98
43314,43029,41853,0,354.36,2.11,19.02,51.09
43314,42806,41853,0,355.97,2.62,18.91,51.21
43314,42806,41812,0,356.11,2.76,18.97,51.32
43314,42806,41812,0,356.19,2.48,19.01,51.35
43044,42806,41812,0,357.02,4.06,19.32,51.47
43044,42598,41812,0,356.68,4.40,19.58,51.58
43044,42598,41939,0,357.53,4.91,19.63,51.70
43044,42598,41939,0,357.82,4.75,19.63,51.72
43029,42598,41939,0,358.06,4.28,19.73,51.84
43029,43359,41939,0,358.56,4.10,19.69,51.96
43029,43359,42080,0,358.49,4.51,19.95,52.07
43029,43359,42080,0,358.63,4.32,19.98,52.10
43506,43359,42080,0,358.15,4.83,20.41,52.21
43506,44194,42080,0,357.48,2.93,20.35,52.33
43506,44194,41788,0,358.04,3.11,20.36,52.45
43506,44194,41788,0,357.89,3.28,20.37,52.47
43835,44194,41788,0,357.85,2.92,20.22,52.59
43835,44531,41788,0,359.13,2.72,19.84,52.71
43835,44531,41835,0,359.94,2.14,19.63,52.82
43835,44531,41835,0,359.33,2.24,19.65,52.85
43872,44531,41835,0,359.58,2.02,19.68,52.97
43872,44646,41835,0,360.24,2.27,19.60,53.09
43872,44646,41805,0,360.24,2.27,19.49,53.20
43872,44646,41805,0,360.24,2.27,19.42,53.23
43748,44646,41805,0,360.24,2.27,19.27,53.34
43748,43682,41805,0,263.42,1.05,19.12,53.46
43748,43682,41350,0,180.09,0.34,18.62,53.58
43748,43682,41350,0,133.07,0.38,18.53,53.60
43505,43682,41350,0,76.79,-0.24,18.18,53.72
43505,44175,41350,0,28.31,-0.27,17.89,53.84
43505,44175,41529,0,-6.63,100.35,17.90,53.95
43505,44175,41529,0,-11.09,165.17,17.93,53.98
43348,44175,41529,0,-38.83,234.51,18.31,54.10
43348,43958,41529,0,-57.42,293.86,18.17,54.21
43348,43958,41694,0,-70.06,239.39,18.60,54.33
43348,43958,41694,0,26.12,186.48,18.63,54.35
43602,43958,41694,0,98.55,151.30,18.83,54.47
43602,44190,41694,0,168.81,116.80,18.92,54.59
43602,44190,42049,0,229.32,85.55,18.92,54.71
43602,44190,42049,0,263.32,64.99,18.95,54.73
43775,44190,42049,0,304.93,43.00,18.99,54.85
43775,44290,42049,0,339.47,24.47,19.19,54.97
43775,44290,41931,0,365.35,9.84,19.15,55.08
43775,44290,41931,0,365.35,9.84,19.12,55.11
43891,44290,41931,0,365.35,9.84,19.18,55.23
43891,45144,41931,0,365.35,9.84,19.28,55.35
43891,45144,41497,0,365.35,9.84,19.12,55.46
43891,45144,41497,0,365.35,9.84,19.11,55.48
44077,45144,41497,0,365.35,9.84,19.31,55.60
44077,44441,41497,0,365.35,9.84,19.46,55.72
44077,44441,41400,0,365.35,9.84,19.52,55.83
44077,44441,41400,0,365.35,9.84,19.55,55.86
43551,44441,41400,0,365.35,9.84,19.62,55.98
43551,44646,41400,0,365.35,9.84,19.67,56.09
43551,44646,41530,0,365.35,9.84,19.57,56.21
43551,44646,41530,0,365.35,9.84,19.52,56.23
43466,44646,41530,0,365.35,9.84,19.82,56.35
43466,44310,41530,0,365.35,9.84,19.67,56.47
43466,44310,42044,0,365.35,9.84,19.77,56.58
43466,44310,42044,0,365.35,9.84,19.80,56.61
43799,44310,42044,0,365.35,9.84,19.85,56.73
43799,44706,42044,0,365.35,9.84,20.17,56.84
43799,44706,41562,0,365.35,9.84,20.31,56.96
43799,44706,41562,0,365.35,9.84,20.30,56.98
43956,44706,41562,0,365.35,9.84,20.53,57.10
43956,44764,41562,0,365.35,9.84,20.39,57.22
43956,44764,41758,0,365.35,9.84,20.42,57.33
43956,44764,41758,0,365.35,9.84,20.44,57.36
43687,44764,41758,0,365.35,9.84,20.51,57.48
43687,43896,41758,0,365.35,9.84,20.54,57.59
43687,43896,41542,0,365.35,9.84,20.67,57.71
43687,43896,41542,0,365.35,9.84,20.71,57.73
43589,43896,41542,0,365.35,9.84,20.82,57.85
43589,44243,41542,0,365.35,9.84,20.88,57.97
43589,44243,42078,0,365.35,9.84,20.98,58.08
43589,44243,42078,0,365.35,9.84,21.00,58.11
43557,44243,42078,0,365.35,9.84,21.03,58.22
43557,44254,42078,0,365.35,9.84,21.08,58.34
43557,44254,41636,0,365.35,9.84,21.02,58.45
43557,44254,41636,0,365.35,9.84,21.03,58.48
43729,44254,41636,0,365.35,9.84,21.10,58.60
43729,44902,41636,0,365.35,9.84,21.29,58.72
43729,44902,41861,0,365.35,9.84,21.30,58.83
43729,44902,41861,0,365.35,9.84,21.30,58.86
43736,44902,41861,0,365.35,9.84,21.48,58.97
43736,43890,41861,0,365.35,9.84,21.53,59.09
43736,43890,41502,0,365.35,9.84,21.52,59.20
43736,43890,41502,0,359.49,4.18,21.53,59.23
43675,43890,41502,0,358.54,4.81,21.65,59.35
43675,44347,41502,0,357.65,5.02,21.75,59.47
43675,44347,42031,0,357.35,5.31,21.75,59.58
43675,44347,42031,0,357.28,5.38,21.74,59.61
43900,44347,42031,0,356.75,5.75,21.96,59.73
43900,44763,42031,0,356.37,6.08,22.03,59.85
43900,44763,42058,0,356.39,6.13,22.07,59.96
43900,44763,42058,0,356.53,6.09,22.08,59.99
43719,44763,42058,0,356.37,6.11,22.19,60.10
43719,44304,42058,0,355.81,5.72,22.28,60.22
