"A","B","C","G","","","","","",""
"29615","45844","31340","1","343.95","4.15","19.86","41.74","",""
"29615","45844","31340","1","344.28","4.09","19.90","41.77","",""
"29343","45844","31340","1","344.33","4.01","19.91","41.85","",""
"29343","44764","31340","1","345.20","4.19","19.78","41.97","",""
"29343","44764","30970","1","344.69","4.54","19.93","42.07","",""
"29343","44764","30970","1","345.04","4.56","20.00","42.09","",""
"29609","44764","30970","1","345.22","4.29","20.18","42.18","",""
"29609","43344","30970","1","346.01","4.48","19.82","42.30","",""
"29609","43344","30988","1","346.15","3.76","19.77","42.39","",""
"29609","43344","30988","1","345.91","3.60","19.75","42.41","",""
"29386","43344","30988","1","345.46","2.71","19.80","42.50","",""
"29386","42794","30988","1","345.22","2.57","20.05","42.62","",""
"29386","42794","31286","1","345.22","2.46","20.22","42.71","",""
"29386","42794","31286","1","345.10","2.56","20.28","42.74","",""
"29486","42794","31286","1","345.21","2.80","20.46","42.82","",""
"29486","43277","31286","1","345.67","3.00","20.55","42.94","",""
"29486","43277","31639","1","346.10","3.62","20.70","43.03","",""
"29486","43277","31639","1","346.13","3.75","20.73","43.06","",""
"29495","43277","31639","1","345.62","3.89","20.82","43.15","",""
"29495","43223","31639","1","345.15","3.26","21.08","43.26","",""
"29495","43223","31049","1","345.19","3.44","21.25","43.36","",""
"29495","43223","31049","1","345.18","3.39","21.30","43.38","",""
"29574","43223","31049","1","345.18","3.19","21.63","43.47","",""
"29574","45110","31049","1","345.19","2.98","21.86","43.59","",""
"29574","45110","31543","1","345.09","2.88","21.95","43.68","",""
"29574","45110","31543","1","344.99","3.10","21.98","43.71","",""
"29369","45110","31543","1","345.09","3.55","22.28","43.80","",""
"29369","43631","31543","1","345.40","3.69","22.56","43.91","",""
"29369","43631","31368","1","345.21","3.67","22.58","44.01","",""
"29369","43631","31368","1","345.07","3.61","22.60","44.03","",""
"29360","43631","31368","1","345.22","3.45","22.73","44.12","",""
"29360","42883","31368","1","344.46","4.03","22.69","44.24","",""
"29360","42883","31558","1","343.89","4.69","22.89","44.33","",""
"29360","42883","31558","1","344.58","4.74","22.97","44.36","",""
"29355","42883","31558","1","344.74","4.42","23.26","44.44","",""
"29355","43183","31558","1","345.17","3.26","23.63","44.56","",""
"29355","43183","31788","1","345.13","3.46","23.68","44.65","",""
"29355","43183","31788","1","344.98","3.63","23.69","44.68","",""
"29378","43183","31788","1","345.40","3.36","23.96","44.77","",""
"29378","43113","31788","1","345.29","3.95","24.02","44.88","",""
"29378","43113","31168","1","345.39","4.12","24.17","44.97","",""
"29378","43113","31168","1","345.48","3.97","24.19","45.00","",""
"29355","43113","31168","1","345.48","4.12","24.43","45.09","",""
"29355","42986","31168","1","345.26","3.70","24.56","45.20","",""
"29355","42986","31025","1","344.79","4.20","24.50","45.30","",""
"29355","42986","31025","1","344.49","4.23","24.55","45.32","",""
"29245","42986","31025","1","344.95","4.23","24.63","45.41","",""
"29245","44503","31025","1","343.15","5.09","24.96","45.53","",""
"29245","44503","31890","1","343.07","4.42","25.24","45.62","",""
"29245","44503","31890","1","343.52","4.21","25.30","45.65","",""
"29276","44503","31890","1","344.13","4.31","25.42","45.74","",""
"29276","43394","31890","1","344.38","4.18","25.56","45.85","",""
"29276","43394","31648","1","344.74","4.51","25.61","45.94","",""
"29276","43394","31648","1","344.67","4.47","25.65","45.97","",""
"29259","43394","31648","1","344.74","4.63","25.79","46.06","",""
"29259","42686","31648","1","344.58","4.81","25.88","46.17","",""
"29259","42686","31544","1","344.71","4.74","25.97","46.27","",""
"29259","42686","31544","1","344.76","4.62","26.02","46.29","",""
"29290","42686","31544","1","344.68","4.53","26.06","46.38","",""
"29290","43237","31544","1","344.35","4.51","26.17","46.50","",""
"29290","43237","31880","1","344.14","4.35","26.32","46.59","",""
"29290","43237","31880","1","344.11","4.31","26.34","46.62","",""
"29354","43237","31880","1","344.32","4.43","26.44","46.70","",""
"29354","43072","31880","1","344.16","4.20","26.71","46.82","",""
"29354","43072","31157","1","343.86","4.16","26.80","46.91","",""
"29354","43072","31157","1","343.93","4.03","26.84","46.94","",""
"29488","43072","31157","1","343.78","4.06","27.06","47.03","",""
"29488","45145","31157","1","343.63","4.52","27.08","47.15","",""
"29488","45145","31840","1","343.81","4.21","27.14","47.24","",""
"29488","45145","31840","1","343.76","4.30","27.17","47.27","",""
"29398","45145","31840","1","344.01","4.21","27.32","47.35","",""
"29398","43732","31840","1","344.43","4.16","27.44","47.47","",""
"29398","43732","31405","1","344.65","4.11","27.60","47.56","",""
"29398","43732","31405","1","344.50","4.00","27.65","47.59","",""
"29493","43732","31405","1","344.43","4.00","27.88","47.68","",""
"29493","43930","31405","1","345.00","4.30","28.13","47.80","",""
"29493","43930","31841","1","345.14","4.15","28.22","47.89","",""
"29493","43930","31841","1","344.89","4.13","28.23","47.92","",""
"29402","43930","31841","1","344.72","4.05","28.40","48.00","",""
"29402","43535","31841","1","344.96","4.04","28.63","48.12","",""
"29402","43535","31241","1","344.71","3.92","28.83","48.21","",""
"29402","43535","31241","1","344.59","3.95","28.88","48.24","",""
"29610","43535","31241","1","344.68","3.74","29.01","48.33","",""
"29610","44372","31241","1","344.80","3.35","29.22","48.45","",""
"29610","44372","31791","1","344.58","3.46","29.25","48.54","",""
"29610","44372","31791","1","344.43","3.54","29.26","48.56","",""
"29490","44372","31791","1","344.47","3.67","29.46","48.65","",""
"29490","43717","31791","1","344.27","3.65","29.70","48.77","",""
"29490","43717","31393","1","344.10","3.66","29.85","48.86","",""
"29490","43717","31393","1","344.17","3.75","29.93","48.89","",""
"29512","43717","31393","1","344.30","3.82","30.05","48.98","",""
"29512","43833","31393","1","344.50","3.98","30.13","49.09","",""
