A,B,C,G,,,,,,,,,
53025,43296,44744,0,353.83,17.92,-38.28,36.23,,,,,
53025,44292,44744,0,354.67,31.27,-37.05,36.35,,,,,
53025,44292,44679,0,343.73,42.55,-32.95,36.47,,,,,
53025,44292,44679,0,324.87,56.15,-32.56,36.49,,,,,
51633,44292,44679,0,318.17,56.44,-31.60,36.63,,,,,
51633,44155,44679,0,306.91,59.79,-31.71,36.75,,,,,
51633,44155,44680,0,297.29,66.54,-32.77,36.87,,,,,
51633,44155,44680,0,286.24,77.75,-33.00,36.89,,,,,
53166,44155,44680,0,281.02,80.21,-34.13,37.03,,,,,
53166,44779,44680,0,276.27,83.47,-35.86,37.15,,,,,
53166,44779,44597,0,268.47,89.53,-36.11,37.27,,,,,
53166,44779,44597,0,263.76,94.45,-36.29,37.30,,,,,
54567,44779,44597,0,255.96,100.39,-39.71,37.44,,,,,
54567,42483,44597,0,251.00,102.49,-41.24,37.55,,,,,
54567,42483,44171,0,248.47,102.08,-45.57,37.67,,,,,
54567,42483,44171,0,247.53,103.59,-46.28,37.70,,,,,
56370,42483,44171,0,244.41,103.11,-50.75,37.84,,,,,
56370,42045,44171,0,241.58,102.64,-55.84,37.95,,,,,
56370,42045,43933,0,236.41,102.40,-64.36,38.07,,,,,
56370,42045,43933,0,237.16,102.13,-65.74,38.10,,,,,
52046,42045,43933,0,233.24,102.20,-75.08,38.23,,,,,
52046,39253,43933,0,218.31,99.67,-82.68,38.34,,,,,
52046,39253,44660,0,182.45,91.47,-96.15,38.46,,,,,
52046,39253,44660,0,165.61,91.58,-99.07,38.49,,,,,
55180,39253,44660,0,131.06,78.38,-120.53,38.63,,,,,
55180,39408,44660,0,100.73,68.17,-135.64,38.74,,,,,
55180,39408,44824,0,76.62,55.31,-151.14,38.86,,,,,
55180,39408,44824,0,72.09,54.43,-154.22,38.89,,,,,
56250,39408,44824,0,52.05,41.82,-166.97,39.03,,,,,
56250,38499,44824,0,46.37,28.39,-176.01,39.14,,,,,
56250,38499,45469,0,41.66,113.29,-185.52,39.26,,,,,
56250,38499,45469,0,46.50,168.11,-187.63,39.29,,,,,
56390,38499,45469,0,39.07,225.01,-198.72,39.43,,,,,
56390,37815,45469,0,37.90,265.10,-207.71,39.54,,,,,
56390,37815,46785,0,37.49,297.06,-216.88,39.66,,,,,
56390,37815,46785,0,41.45,302.95,-218.53,39.69,,,,,
47531,37815,46785,0,39.17,327.44,-218.82,39.81,,,,,
47531,37095,46785,0,42.93,338.43,-220.53,39.92,,,,,
47531,37095,47826,0,44.07,347.23,-222.92,40.04,,,,,
47531,37095,47826,0,47.36,338.37,-223.36,40.07,,,,,
47463,37095,47826,0,44.04,346.33,-225.85,40.19,,,,,
47463,37305,47826,0,42.36,348.23,-225.90,40.30,,,,,
47463,37305,47279,0,39.84,350.46,-226.12,40.42,,,,,
47463,37305,47279,0,40.94,341.06,-226.12,40.45,,,,,
48074,37305,47279,0,37.14,339.62,-227.62,40.58,,,,,
48074,36937,47279,0,36.81,335.94,-230.15,40.68,,,,,
48074,36937,47219,0,33.43,333.50,-230.43,40.81,,,,,
48074,36937,47219,0,33.57,327.07,-230.46,40.83,,,,,
47636,36937,47219,0,34.07,324.90,-230.83,40.96,,,,,
47636,36899,47219,0,35.80,319.70,-231.25,41.06,,,,,
47636,36899,46860,0,37.90,316.72,-230.43,41.19,,,,,
47636,36899,46860,0,38.15,313.54,-230.42,41.21,,,,,
47681,36899,46860,0,39.37,311.05,-229.67,41.34,,,,,
47681,37061,46860,0,39.73,309.83,-227.39,41.44,,,,,
47681,37061,47192,0,41.22,307.40,-228.01,41.57,,,,,
47681,37061,47192,0,41.82,305.90,-228.13,41.60,,,,,
48064,37061,47192,0,42.00,304.82,-227.06,41.72,,,,,
48064,36605,47192,0,42.71,303.35,-226.82,41.83,,,,,
48064,36605,47834,0,42.91,302.43,-225.77,41.95,,,,,
48064,36605,47834,0,43.08,302.35,-225.51,41.98,,,,,
48000,36605,47834,0,43.26,302.56,-225.13,42.11,,,,,
48000,36660,47834,0,42.95,302.17,-224.77,42.21,,,,,
48000,36660,47702,0,43.27,302.30,-224.01,42.34,,,,,
48000,36660,47702,0,43.67,302.59,-223.84,42.36,,,,,
47939,36660,47702,0,44.36,301.78,-224.49,42.49,,,,,
47939,37120,47702,0,44.15,300.98,-223.82,42.59,,,,,
47939,37120,47749,0,44.02,300.93,-224.17,42.72,,,,,
47939,37120,47749,0,43.68,301.04,-224.27,42.75,,,,,
47506,37120,47749,0,43.69,301.89,-224.39,42.87,,,,,
47506,36908,47749,0,45.05,301.37,-224.32,42.98,,,,,
47506,36908,47752,0,45.96,302.10,-224.45,43.10,,,,,
47506,36908,47752,0,46.31,302.38,-224.58,43.13,,,,,
47603,36908,47752,0,46.02,302.51,-224.82,43.25,,,,,
47603,36927,47752,0,44.23,303.77,-223.32,43.36,,,,,
47603,36927,47278,0,46.51,302.47,-223.49,43.48,,,,,
47603,36927,47278,0,46.31,302.96,-223.47,43.51,,,,,
47821,36927,47278,0,46.99,301.80,-223.57,43.64,,,,,
47821,37040,47278,0,46.45,301.21,-224.51,43.74,,,,,
47821,37040,47528,0,49.50,300.23,-227.62,43.87,,,,,
47821,37040,47528,0,50.58,300.15,-228.51,43.89,,,,,
47654,37040,47528,0,45.96,301.52,-227.64,44.02,,,,,
47654,36689,47528,0,42.95,300.33,-230.55,44.12,,,,,
47654,36689,47835,0,36.98,300.53,-233.85,44.25,,,,,
47654,36689,47835,0,34.60,300.39,-234.46,44.28,,,,,
47948,36689,47835,0,29.50,300.19,-235.52,44.40,,,,,
47948,37040,47835,0,25.98,295.89,-236.19,44.51,,,,,
47948,37040,47859,0,25.87,293.52,-236.34,44.63,,,,,
47948,37040,47859,0,26.46,293.28,-236.42,44.66,,,,,
47182,37040,47859,0,25.27,292.92,-235.67,44.78,,,,,
47182,36917,47859,0,24.55,293.51,-234.44,44.89,,,,,
47182,36917,47341,0,25.81,296.68,-230.20,45.01,,,,,
47182,36917,47341,0,29.07,297.57,-229.60,45.04,,,,,
47239,36917,47341,0,30.81,298.43,-229.47,45.16,,,,,
47239,36910,47341,0,31.24,300.72,-228.24,45.27,,,,,
47239,36910,47337,0,32.84,302.02,-227.97,45.39,,,,,
47239,36910,47337,0,33.62,301.71,-227.94,45.42,,,,,
47897,36910,47337,0,34.98,303.31,-227.21,45.55,,,,,
47897,36856,47337,0,36.69,303.29,-226.67,45.65,,,,,
47897,36856,47722,0,38.03,304.06,-225.44,45.78,,,,,
47897,36856,47722,0,37.95,304.18,-225.25,45.80,,,,,
47805,36856,47722,0,39.28,304.23,-224.45,45.93,,,,,
47805,36796,47722,0,40.00,303.00,-224.40,46.03,,,,,
47805,36796,47348,0,39.60,303.54,-224.53,46.16,,,,,
47805,36796,47348,0,39.45,303.08,-224.53,46.19,,,,,
48094,36796,47348,0,34.70,301.89,-218.77,46.31,,,,,
48094,36816,47348,0,25.59,301.61,-208.30,46.42,,,,,
48094,36816,45732,0,20.78,309.66,-202.09,46.54,,,,,
48094,36816,45732,0,22.14,313.40,-200.71,46.56,,,,,
50464,36816,45732,0,26.50,318.88,-198.52,46.70,,,,,
50464,36745,45732,0,29.45,322.83,-195.24,46.80,,,,,
50464,36745,46067,0,33.11,327.43,-192.63,46.92,,,,,
50464,36745,46067,0,35.15,327.65,-191.91,46.95,,,,,
53617,36745,46067,0,33.05,339.42,-184.17,47.09,,,,,
53617,37022,46067,0,31.25,348.37,-177.43,47.19,,,,,
53617,37022,44760,0,28.91,356.08,-172.44,47.31,,,,,
53617,37022,44760,0,28.61,357.36,-171.41,47.34,,,,,
56221,37022,44760,0,25.79,275.30,-164.14,47.48,,,,,
56221,39057,44760,0,24.19,200.39,-159.76,47.59,,,,,
56221,39057,44227,0,22.05,136.37,-154.94,47.71,,,,,
56221,39057,44227,0,20.81,103.96,-153.86,47.74,,,,,
56176,39057,44227,0,17.42,60.52,-147.92,47.88,,,,,
56176,39526,44227,0,14.80,34.68,-142.40,47.99,,,,,
56176,39526,44062,0,11.79,15.43,-136.45,48.11,,,,,
56176,39526,44062,0,9.53,16.85,-135.36,48.13,,,,,
55562,39526,44062,0,103.74,2.91,-130.65,48.28,,,,,
55562,39978,44062,0,183.59,1.86,-126.53,48.39,,,,,
55562,39978,44367,0,250.74,6.04,-123.76,48.51,,,,,
55562,39978,44367,0,278.97,15.87,-123.16,48.53,,,,,
55409,39978,44367,0,328.21,11.75,-121.39,48.67,,,,,
55409,40411,44367,0,356.16,15.47,-120.17,48.78,,,,,
55409,40411,44672,0,356.16,15.47,-118.87,48.90,,,,,
55409,40411,44672,0,356.16,15.47,-118.95,48.93,,,,,
55346,40411,44672,0,356.16,15.47,-118.20,49.07,,,,,
55346,40808,44672,0,356.16,15.47,-116.78,49.18,,,,,
55346,40808,44483,0,356.16,15.47,-115.60,49.30,,,,,
55346,40808,44483,0,356.16,15.47,-115.19,49.33,,,,,
56395,40808,44483,0,356.16,15.47,-111.82,49.47,,,,,
56395,41264,44483,0,356.16,15.47,-107.84,49.58,,,,,
56395,41264,44592,0,356.16,15.47,-106.34,49.70,,,,,
56395,41264,44592,0,347.26,59.24,-106.06,49.73,,,,,
55515,41264,44592,0,342.25,67.50,-103.84,49.87,,,,,
55515,42544,44592,0,329.88,74.80,-102.64,49.99,,,,,
